,index,cluster
144,patient5_K8,0
145,patient5_L1,6
146,patient5_L11,0
147,patient5_L14,0
148,patient5_L16,2
149,patient5_L17,5
150,patient5_L18,0
151,patient5_L19,0
152,patient5_L2,0
153,patient5_L21,0
154,patient5_L22,2
155,patient5_L23,3
156,patient5_L24,2
157,patient5_L3,0
158,patient5_L4,3
159,patient5_L5,0
160,patient5_L7,0
161,patient5_M12,0
162,patient5_M18,0
163,patient5_M2,0
164,patient5_M22,4
165,patient5_M4,0
166,patient5_M8,2
167,patient5_N1,0
168,patient5_N13,2
169,patient5_N16,0
170,patient5_N19,0
171,patient5_N2,0
172,patient5_N20,0
173,patient5_N21,2
174,patient5_N4,0
175,patient5_N5,2
176,patient5_N6,2
177,patient5_N8,1
178,patient5_N9,0
179,patient5_O1,0
180,patient5_O11,0
181,patient5_O12,1
182,patient5_O13,0
183,patient5_O14,2
184,patient5_O16,0
185,patient5_O19,2
186,patient5_O20,0
187,patient5_O22,0
188,patient5_O23,3
189,patient5_O3,2
190,patient5_O5,0
191,patient5_O8,2
192,patient5_P1,1
193,patient5_P10,0
194,patient5_P11,2
195,patient5_P12,0
196,patient5_P2,2
197,patient5_P21,3
198,patient5_P23,0
199,patient5_P3,0
200,patient5_P4,0
201,patient5_P5,0
202,patient5_P8,0
203,patient7_A1,1
204,patient7_A11,0
205,patient7_A12,1
206,patient7_A13,1
207,patient7_A14,1
208,patient7_A15,1
209,patient7_A16,4
210,patient7_A17,1
211,patient7_A19,1
212,patient7_A3,0
213,patient7_A5,0
214,patient7_A6,0
215,patient7_A7,3
216,patient7_A9,0
217,patient7_B1,0
218,patient7_B10,1
219,patient7_B11,0
220,patient7_B12,5
221,patient7_B13,0
222,patient7_B14,1
223,patient7_B15,0
224,patient7_B18,0
225,patient7_B21,1
226,patient7_B24,1
227,patient7_B3,1
228,patient7_B4,0
229,patient7_B5,4
230,patient7_B6,6
231,patient7_B7,0
232,patient7_B8,4
233,patient7_C1,0
234,patient7_C10,0
235,patient7_C11,1
236,patient7_C13,1
237,patient7_C14,5
238,patient7_C15,1
239,patient7_C16,0
240,patient7_C17,1
241,patient7_C19,1
242,patient7_C2,0
243,patient7_C21,1
244,patient7_C22,1
245,patient7_C23,5
246,patient7_C24,1
247,patient7_C3,1
248,patient7_C4,1
249,patient7_C5,0
250,patient7_C6,1
251,patient7_C7,5
252,patient7_C8,0
253,patient7_C9,1
254,patient7_D1,1
255,patient7_D10,5
256,patient7_D11,0
257,patient7_D12,4
258,patient7_D14,1
259,patient7_D15,1
260,patient7_D19,3
261,patient7_D2,1
262,patient7_D21,6
263,patient7_D22,1
264,patient7_D23,2
265,patient7_D3,1
266,patient7_D4,1
267,patient7_D6,5
268,patient7_D8,1
269,patient7_D9,0
270,patient7_E1,0
271,patient7_E11,1
272,patient7_E12,6
273,patient7_E13,0
274,patient7_E15,1
275,patient7_E16,0
276,patient7_E17,1
277,patient7_E19,4
278,patient7_E2,5
279,patient7_E22,0
280,patient7_E23,0
281,patient7_E24,6
282,patient7_E3,4
283,patient7_E5,6
284,patient7_E7,0
285,patient7_E8,0
286,patient7_F10,5
287,patient7_F12,1
288,patient7_F13,2
289,patient7_F15,2
290,patient7_F16,1
291,patient7_F19,0
292,patient7_F2,0
293,patient7_F21,1
294,patient7_F23,2
295,patient7_F24,6
296,patient7_F3,5
297,patient7_F4,0
298,patient7_F5,5
299,patient7_F7,6
300,patient7_F8,1
301,patient7_G1,0
302,patient7_G10,1
303,patient7_G11,0
304,patient7_G13,1
305,patient7_G14,1
306,patient7_G15,0
307,patient7_G17,5
308,patient7_G18,0
309,patient7_G19,0
310,patient7_G20,1
311,patient7_G21,1
312,patient7_G22,0
313,patient7_G23,4
314,patient7_G3,1
315,patient7_G4,0
316,patient7_G5,1
317,patient7_G8,2
318,patient7_G9,1
319,patient7_H1,1
320,patient7_H10,2
321,patient7_H11,1
322,patient7_H12,0
323,patient7_H14,1
324,patient7_H16,1
325,patient7_H17,1
326,patient7_H18,1
327,patient7_H19,0
328,patient7_H2,1
329,patient7_H20,0
330,patient7_H23,0
331,patient7_H24,1
332,patient7_H3,1
333,patient7_H6,0
334,patient7_H7,0
335,patient7_H8,5
336,patient7_H9,5
337,patient7_I1,1
338,patient7_I10,1
339,patient7_I11,6
340,patient7_I12,0
341,patient7_I15,1
342,patient7_I16,1
343,patient7_I17,1
344,patient7_I18,1
345,patient7_I19,1
346,patient7_I2,0
347,patient7_I21,0
348,patient7_I22,1
349,patient7_I23,1
350,patient7_I24,1
351,patient7_I3,1
352,patient7_I4,0
353,patient7_I5,0
354,patient7_I6,2
355,patient7_I7,0
356,patient7_I8,1
357,patient7_J1,0
358,patient7_J10,3
359,patient7_J13,0
360,patient7_J14,0
361,patient7_J15,1
362,patient7_J16,5
363,patient7_J17,6
364,patient7_J18,4
365,patient7_J19,0
366,patient7_J2,0
367,patient7_J20,1
368,patient7_J21,1
369,patient7_J22,0
370,patient7_J23,5
371,patient7_J4,0
372,patient7_J5,5
373,patient7_J7,1
374,patient7_J8,0
375,patient7_J9,1
376,patient7_K1,1
377,patient7_K10,6
378,patient7_K11,1
379,patient7_K12,1
380,patient7_K14,1
381,patient7_K15,0
382,patient7_K16,1
383,patient7_K17,1
384,patient7_K18,1
385,patient7_K19,0
386,patient7_K2,1
387,patient7_K21,1
388,patient7_K22,0
389,patient7_K23,0
390,patient7_K3,0
391,patient7_K5,5
392,patient7_K6,1
393,patient7_K7,5
394,patient7_K8,5
395,patient7_L1,1
396,patient7_L13,1
397,patient7_L14,2
398,patient7_L15,0
399,patient7_L16,1
400,patient7_L17,2
401,patient7_L19,0
402,patient7_L2,1
403,patient7_L20,1
404,patient7_L22,0
405,patient7_L23,1
406,patient7_L24,0
407,patient7_L4,1
408,patient7_L5,5
409,patient7_L6,1
410,patient7_L8,6
411,patient7_L9,0
412,patient7_M10,0
413,patient7_M11,1
414,patient7_M12,1
415,patient7_M13,0
416,patient7_M14,2
417,patient7_M15,1
418,patient7_M16,0
419,patient7_M17,3
420,patient7_M19,2
421,patient7_M2,6
422,patient7_M20,1
423,patient7_M22,1
424,patient7_M23,1
425,patient7_M5,5
426,patient7_M6,1
427,patient7_M7,2
428,patient7_M8,0
429,patient7_M9,1
430,patient7_N1,1
431,patient7_N10,5
432,patient7_N11,1
433,patient7_N12,1
434,patient7_N13,0
435,patient7_N14,1
436,patient7_N16,1
437,patient7_N18,2
438,patient7_N20,1
439,patient7_N21,4
440,patient7_N22,0
441,patient7_N23,0
442,patient7_N24,0
443,patient7_N3,2
444,patient7_N4,1
445,patient7_N5,1
446,patient7_N6,1
447,patient7_N7,0
448,patient7_N8,0
449,patient7_N9,0
450,patient7_O1,5
451,patient7_O11,4
452,patient7_O13,0
453,patient7_O14,1
454,patient7_O16,1
455,patient7_O17,1
456,patient7_O18,0
457,patient7_O2,3
458,patient7_O20,1
459,patient7_O22,1
460,patient7_O23,1
461,patient7_O24,1
462,patient7_O3,5
463,patient7_O5,0
464,patient7_O6,0
465,patient7_O7,1
466,patient7_O9,6
467,patient7_P1,1
468,patient7_P11,0
469,patient7_P13,1
470,patient7_P14,1
471,patient7_P15,6
472,patient7_P16,6
473,patient7_P17,0
474,patient7_P18,0
475,patient7_P19,1
476,patient7_P2,1
477,patient7_P20,1
478,patient7_P21,1
479,patient7_P22,0
480,patient7_P23,1
481,patient7_P24,0
482,patient7_P4,1
483,patient7_P5,1
484,patient7_P6,0
485,patient7_P8,0
486,patient7_P9,0
487,patient6_A1,2
488,patient6_A10,3
489,patient6_A11,1
490,patient6_A12,0
491,patient6_A13,2
492,patient6_A14,2
493,patient6_A15,4
494,patient6_A16,3
495,patient6_A17,0
496,patient6_A19,2
497,patient6_A2,2
498,patient6_A20,4
499,patient6_A21,1
500,patient6_A22,3
501,patient6_A23,3
502,patient6_A24,1
503,patient6_A3,0
504,patient6_A4,3
505,patient6_A5,2
506,patient6_A6,5
507,patient6_A7,0
508,patient6_A8,0
509,patient6_A9,0
510,patient6_B1,2
511,patient6_B10,2
512,patient6_B11,0
513,patient6_B12,0
514,patient6_B13,4
515,patient6_B14,0
516,patient6_B17,0
517,patient6_B18,3
518,patient6_B20,0
519,patient6_B23,1
520,patient6_B24,1
521,patient6_B3,1
522,patient6_B4,2
523,patient6_B5,1
524,patient6_B6,3
525,patient6_B7,3
526,patient6_B9,2
527,patient6_C1,3
528,patient6_C10,2
529,patient6_C11,2
530,patient6_C13,4
531,patient6_C14,1
532,patient6_C15,3
533,patient6_C16,0
534,patient6_C17,2
535,patient6_C19,4
536,patient6_C2,0
537,patient6_C20,1
538,patient6_C22,1
539,patient6_C23,1
540,patient6_C24,3
541,patient6_C3,2
542,patient6_C4,0
543,patient6_C6,0
544,patient6_C8,5
545,patient6_D1,0
546,patient6_D10,4
547,patient6_D12,1
548,patient6_D14,4
549,patient6_D16,0
550,patient6_D17,2
551,patient6_D18,0
552,patient6_D19,2
553,patient6_D2,1
554,patient6_D21,3
555,patient6_D22,1
556,patient6_D24,3
557,patient6_D3,1
558,patient6_D4,1
559,patient6_D5,0
560,patient6_D7,5
561,patient6_D8,0
562,patient6_D9,0
563,patient6_E1,1
564,patient6_E10,4
565,patient6_E11,2
566,patient6_E14,1
567,patient6_E15,6
568,patient6_E16,5
569,patient6_E18,0
570,patient6_E19,3
571,patient6_E2,2
572,patient6_E20,3
573,patient6_E21,3
574,patient6_E22,1
575,patient6_E23,1
576,patient6_E3,3
577,patient6_E4,4
578,patient6_E5,4
579,patient6_E6,0
580,patient6_E8,0
581,patient6_E9,1
582,patient6_F1,0
583,patient6_F10,0
584,patient6_F12,4
585,patient6_F15,1
586,patient6_F16,1
587,patient6_F17,2
588,patient6_F18,2
589,patient6_F19,0
590,patient6_F2,0
591,patient6_F20,4
592,patient6_F21,0
593,patient6_F22,1
594,patient6_F23,3
595,patient6_F24,1
596,patient6_F3,0
597,patient6_F5,2
598,patient6_F7,4
599,patient6_F8,1
600,patient6_F9,0
601,patient6_G1,4
602,patient6_G10,0
603,patient6_G11,6
604,patient6_G13,0
605,patient6_G14,0
606,patient6_G16,0
607,patient6_G17,2
608,patient6_G18,0
609,patient6_G19,4
610,patient6_G2,3
611,patient6_G21,2
612,patient6_G22,1
613,patient6_G23,3
614,patient6_G24,1
615,patient6_G4,2
616,patient6_G7,0
617,patient6_G8,0
618,patient6_G9,4
619,patient6_H10,2
620,patient6_H12,0
621,patient6_H14,2
622,patient6_H16,4
623,patient6_H17,0
624,patient6_H18,3
625,patient6_H19,0
626,patient6_H2,5
627,patient6_H20,2
628,patient6_H21,1
629,patient6_H22,2
630,patient6_H23,4
631,patient6_H24,2
632,patient6_H3,4
633,patient6_H4,2
634,patient6_H5,1
635,patient6_H6,0
636,patient6_H8,1
637,patient6_H9,1
638,patient6_I1,1
639,patient6_I10,3
640,patient6_I11,3
641,patient6_I12,5
642,patient6_I13,2
643,patient6_I14,0
644,patient6_I15,0
645,patient6_I16,0
646,patient6_I17,5
647,patient6_I18,3
648,patient6_I19,3
649,patient6_I20,2
650,patient6_I21,0
651,patient6_I22,2
652,patient6_I24,4
653,patient6_I3,2
654,patient6_I4,0
655,patient6_I5,2
656,patient6_I6,0
657,patient6_I7,0
658,patient6_I8,0
659,patient6_I9,6
660,patient6_J1,3
661,patient6_J11,1
662,patient6_J12,1
663,patient6_J13,0
664,patient6_J14,0
665,patient6_J17,4
666,patient6_J18,1
667,patient6_J19,0
668,patient6_J2,0
669,patient6_J20,3
670,patient6_J21,2
671,patient6_J22,3
672,patient6_J24,0
673,patient6_J3,1
674,patient6_J4,0
675,patient6_J5,2
676,patient6_J6,2
677,patient6_J8,0
678,patient6_K1,1
679,patient6_K10,0
680,patient6_K11,4
681,patient6_K12,4
682,patient6_K14,0
683,patient6_K15,0
684,patient6_K17,5
685,patient6_K18,0
686,patient6_K19,1
687,patient6_K2,0
688,patient6_K20,2
689,patient6_K21,4
690,patient6_K22,3
691,patient6_K23,2
692,patient6_K24,3
693,patient6_K3,2
694,patient6_K4,1
695,patient6_K6,0
696,patient6_K7,2
697,patient6_L1,2
698,patient6_L11,0
699,patient6_L12,4
700,patient6_L13,0
701,patient6_L14,4
702,patient6_L15,5
703,patient6_L16,0
704,patient6_L17,0
705,patient6_L19,0
706,patient6_L2,0
707,patient6_L21,0
708,patient6_L23,0
709,patient6_L24,3
710,patient6_L3,2
711,patient6_L4,2
712,patient6_L5,2
713,patient6_L6,2
714,patient6_L7,4
715,patient6_M1,0
716,patient6_M13,0
717,patient6_M14,1
718,patient6_M15,2
719,patient6_M16,0
720,patient6_M18,5
721,patient6_M19,3
722,patient6_M2,2
723,patient6_M20,1
724,patient6_M21,0
725,patient6_M22,4
726,patient6_M23,0
727,patient6_M24,2
728,patient6_M3,4
729,patient6_M4,0
730,patient6_M7,0
731,patient6_M8,1
732,patient6_N1,2
733,patient6_N10,0
734,patient6_N11,1
735,patient6_N12,2
736,patient6_N13,2
737,patient6_N14,0
738,patient6_N15,0
739,patient6_N16,3
740,patient6_N18,4
741,patient6_N19,4
742,patient6_N2,0
743,patient6_N20,4
744,patient6_N21,1
745,patient6_N23,2
746,patient6_N3,2
747,patient6_N4,5
748,patient6_N6,0
749,patient6_N7,5
750,patient6_N8,0
751,patient6_N9,0
752,patient6_O1,2
753,patient6_O10,4
754,patient6_O12,6
755,patient6_O13,2
756,patient6_O14,2
757,patient6_O15,2
758,patient6_O17,2
759,patient6_O19,5
760,patient6_O2,6
761,patient6_O21,0
762,patient6_O22,0
763,patient6_O23,0
764,patient6_O24,2
765,patient6_O3,4
766,patient6_O4,1
767,patient6_O5,1
768,patient6_O6,0
769,patient6_O7,3
770,patient6_O8,2
771,patient6_O9,3
772,patient6_P1,0
773,patient6_P10,2
774,patient6_P11,2
775,patient6_P12,0
776,patient6_P13,6
777,patient6_P14,0
778,patient6_P17,2
779,patient6_P18,2
780,patient6_P19,0
781,patient6_P2,0
782,patient6_P20,0
783,patient6_P21,0
784,patient6_P22,3
785,patient6_P23,4
786,patient6_P4,2
787,patient6_P7,2
788,patient6_P9,2
